開課序號,開課代碼,系所,組,年,班,全英語,MOOCS,限性別,中文課程名稱,英文課程名稱,學分,必/選,全/半,教師,地點時間,限修人數,選修人數,限修條件,備註
0541,00UE008,師培學院,A,,,,,,輔導原理與實務（教）,Principle and Practice of Guidance,2.0,選,半,吳淑禎,一 3-4 和平 樸301,50,60,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修,
0542,00UE008,師培學院,B,,,,,,輔導原理與實務（教）,Principle and Practice of Guidance,2.0,選,半,吳淑禎,一 6-7 和平 樸301,50,40,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修,**除上課時間之外，每週另安排1小時臨近中學進行義務輔導，適合想要強化臨床教學經驗且時間許可者。1.外加義務輔導10-12週，每週1次，每次1節課。2.不開放授權碼選課。3.第1週請務必出席參與義務輔導媒合說明，不接受第1、2週未到同學加選。
0543,00UE008,師培學院,C,,,,,,輔導原理與實務（教）,Principle and Practice of Guidance,2.0,選,半,陳淑琦,三 9-10 和平 誠307,50,54,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修,
0544,00UE008,師培學院,D,,,,,,輔導原理與實務（教）,Principle and Practice of Guidance,2.0,選,半,陳淑琦,三 A-B 和平 誠207,50,51,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修,
0545,00UE008,師培學院,E,,,,,,輔導原理與實務（教）,Principle and Practice of Guidance,2.0,選,半,吳淑禎,四 3-4 公館 Ｓ601,50,47,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修,
0546,00UE009,師培學院,A,,,,,,青少年問題研究（教）,Studies in Adolescent,2.0,選,半,孫鍾萍,二 A-B 和平 誠304,50,50,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 可修,
0547,00UE009,師培學院,B,,,,,,青少年問題研究（教）,Studies in Adolescent,2.0,選,半,孫鍾萍,四 A-B 和平 誠304,50,46,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 可修,
0548,00UE011,師培學院,A,,,,,,教育行政（教）,Educational Administration,2.0,選,半,鄭淑惠,二 3-4 和平 樸301,50,47,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 國小教育學程生 國小不佔名額生 可修,
0549,00UE011,師培學院,B,,,,,,教育行政（教）,Educational Administration,2.0,選,半,鄭淑惠,二 8-9 和平 正201,50,47,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 國小教育學程生 國小不佔名額生 可修,
0550,00UE016,師培學院,,,,,,,認知心理學（教）,Cognitive Psychology,2.0,選,半,許禕芳,二 3-4 和平 教602,50,59,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 國小教育學程生 國小不佔名額生 可修,
0551,00UE036,師培學院,,,,,,,教育史（教）,History of Education,2.0,選,半,劉蔚之,四 3-4 和平 教9樓綜合教室,50,17,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 國小教育學程生 國小不佔名額生 可修,
0552,00UE057,師培學院,,,,,,,性別教育（教）,Gender Education,2.0,選,半,張宜君 姜兆眉,二 3-4 和平 誠305,50,54,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 國小教育學程生 國小不佔名額生 可修,
0553,00UE059,師培學院,A,,,,,,特殊教育導論（教）,Introduction to Special Education,3.0,選,半,葉宗青,三 A-C 和平 誠203,50,51,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 國小教育學程生 國小不佔名額生 可修,
0554,00UE059,師培學院,B,,,,,,特殊教育導論（教）,Introduction to Special Education,3.0,選,半,林淑莉,二 6-8 和平 特103,45,48,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 國小教育學程生 國小不佔名額生 可修,
0555,00UE059,師培學院,C,,,是,,,特殊教育導論（教）,Introduction to Special Education,3.0,選,半,趙本強,四 2-4 和平 特112,20,9,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 國小教育學程生 國小不佔名額生 可修,
